userid,budget,lat,long,smoker
U1001,['medium'],['22.139997'],['-100.978803'],['false']
U1002,['low'],['22.150087'],['-100.983325'],['false']
U1003,['low'],['22.119847'],['-100.946527'],['false']
U1004,['medium'],['18.867'],['-99.183'],['false']
U1005,['medium'],['22.183477'],['-100.959891'],['false']
U1006,['medium'],['22.15'],['-100.983'],['true']
U1007,['low'],['22.118464'],['-100.938256'],['false']
U1008,['low'],['22.122989'],['-100.923811'],['false']
U1009,['medium'],['22.159427'],['-100.990448'],['false']
U1010,['medium'],['22.190889'],['-100.998669'],['false']
U1011,['medium'],['23.724972'],['-99.152856'],['false']
U1012,['medium'],['18.813348'],['-99.243697'],['false']
U1013,['medium'],['22.174624'],['-100.993873'],['false']
U1014,['medium'],['23.751607'],['-99.170108'],['false']
U1015,['medium'],['22.12676'],['-100.905209'],['true']
U1016,['medium'],['22.156247'],['-100.977402'],['false']
U1017,['medium'],['18.952615'],['-99.201616'],['false']
U1018,['low'],['22.190949'],['-100.917902'],['true']
U1019,['medium'],['22.153385'],['-100.975294'],['false']
U1020,['medium'],['18.878189'],['-99.222969'],['false']
U1021,['medium'],['23.730569'],['-99.171883'],['false']
U1022,['medium'],['22.146708'],['-100.964355'],['false']
U1023,['low'],['23.752943'],['-99.166589'],['false']
U1024,['?'],['22.154021'],['-100.976028'],['?']
U1025,['medium'],['22.125603'],['-100.907844'],['false']
U1026,['medium'],['23.733'],['-99.133'],['false']
U1027,['low'],['22.16515'],['-100.987015'],['true']
U1028,['medium'],['23.752874'],['-99.169242'],['false']
U1029,['low'],['22.151796'],['-100.989075'],['true']
U1030,['medium'],['18.844818'],['-99.182758'],['false']
U1031,['medium'],['23.735698'],['-99.159851'],['false']
U1032,['medium'],['22.169184'],['-100.986843'],['false']
U1033,['low'],['22.15'],['-100.983'],['false']
U1034,['medium'],['22.137178'],['-101.013169'],['false']
U1035,['medium'],['18.839671'],['-99.223897'],['true']
U1036,['medium'],['22.160572'],['-100.989418'],['false']
U1037,['low'],['22.15031'],['-100.900536'],['false']
U1038,['low'],['22.125786'],['-100.943705'],['true']
U1039,['medium'],['23.738067'],['-99.139906'],['false']
U1040,['medium'],['18.895187'],['-99.18039'],['false']
U1041,['medium'],['18.935191'],['-99.23624'],['false']
U1042,['high'],['18.925773'],['-99.219589'],['false']
U1043,['medium'],['23.77103'],['-99.167082'],['false']
U1044,['medium'],['18.95298'],['-99.260789'],['true']
U1045,['high'],['22.156724'],['-100.984268'],['false']
U1046,['medium'],['22.144415'],['-100.933097'],['false']
U1047,['medium'],['22.142429'],['-100.949147'],['false']
U1048,['medium'],['22.142208'],['-101.022785'],['true']
U1049,['?'],['22.15'],['-100.983'],['false']
U1050,['medium'],['23.758815'],['-99.171216'],['false']
U1051,['medium'],['18.877719'],['-99.22299'],['false']
U1052,['low'],['22.138055'],['-100.936005'],['true']
U1053,['low'],['22.175833'],['-100.986671'],['false']
U1054,['medium'],['22.150683'],['-100.975342'],['false']
U1055,['medium'],['22.143289'],['-100.987683'],['false']
U1056,['medium'],['22.168997'],['-100.974376'],['false']
U1057,['medium'],['22.196624'],['-100.91217'],['true']
U1058,['low'],['22.205802'],['-100.986081'],['false']
U1059,['medium'],['18.988278'],['-99.097023'],['false']
U1060,['medium'],['23.715238'],['-99.158864'],['false']
U1061,['medium'],['22.140388'],['-100.937321'],['false']
U1062,['medium'],['22.195826'],['-101.006317'],['false']
U1063,['medium'],['23.745096'],['-99.164357'],['false']
U1064,['medium'],['22.139511'],['-100.957002'],['false']
U1065,['medium'],['23.733665'],['-99.105617'],['false']
U1066,['low'],['18.890695'],['-99.157104'],['false']
U1067,['medium'],['23.752269'],['-99.168605'],['false']
U1068,['low'],['23.752269'],['-99.168605'],['false']
U1069,['medium'],['19.347641'],['-99.130229'],['false']
U1070,['low'],['23.753237'],['-99.166868'],['false']
U1071,['high'],['22.154339'],['-100.975342'],['false']
U1072,['medium'],['18.86826'],['-99.212033'],['false']
U1073,['medium'],['22.15'],['-100.983'],['false']
U1074,['medium'],['18.917'],['-99.25'],['true']
U1075,['medium'],['22.167575'],['-100.960364'],['false']
U1076,['medium'],['22.156469'],['-100.98554'],['false']
U1077,['medium'],['22.156469'],['-100.98554'],['false']
U1078,['medium'],['22.172109'],['-100.963199'],['true']
U1079,['medium'],['18.917'],['-99.25'],['false']
U1080,['low'],['23.743793'],['-99.163397'],['true']
U1081,['low'],['22.207749'],['-100.942383'],['false']
U1082,['medium'],['23.753061'],['-99.166095'],['true']
U1083,['?'],['22.13392'],['-101.028373'],['false']
U1084,['medium'],['22.172524'],['-101.005758'],['true']
