userid,payment
U1001,['cash']
U1002,['cash']
U1003,['cash']
U1004,"['cash', 'bank_debit_cards']"
U1005,['cash']
U1006,['cash']
U1007,['cash']
U1008,['cash']
U1009,['cash']
U1010,['cash']
U1011,['cash']
U1012,"['cash', 'bank_debit_cards']"
U1013,"['MasterCard-Eurocard', 'cash']"
U1014,['cash']
U1015,['cash']
U1016,['cash']
U1017,"['cash', 'VISA']"
U1018,['cash']
U1019,['cash']
U1020,"['cash', 'bank_debit_cards']"
U1021,['cash']
U1022,['cash']
U1023,['cash']
U1024,['?']
U1025,['?']
U1026,"['cash', 'bank_debit_cards']"
U1027,['cash']
U1028,['cash']
U1029,['cash']
U1030,['cash']
U1031,"['cash', 'American_Express']"
U1032,['cash']
U1033,['cash']
U1034,['cash']
U1035,"['cash', 'VISA']"
U1036,['cash']
U1037,['cash']
U1038,['cash']
U1039,['cash']
U1040,['cash']
U1041,"['bank_debit_cards', 'cash', 'American_Express', 'VISA']"
U1042,['bank_debit_cards']
U1043,['cash']
U1044,"['VISA', 'bank_debit_cards', 'cash', 'MasterCard-Eurocard']"
U1045,['cash']
U1046,['cash']
U1047,['cash']
U1048,['cash']
U1049,['cash']
U1050,['cash']
U1051,"['VISA', 'cash']"
U1052,['cash']
U1053,['cash']
U1054,['cash']
U1055,['cash']
U1056,['cash']
U1057,"['cash', 'VISA']"
U1058,['cash']
U1059,['cash']
U1060,['cash']
U1061,"['cash', 'bank_debit_cards']"
U1062,"['VISA', 'cash']"
U1063,['cash']
U1064,['cash']
U1065,['cash']
U1066,"['cash', 'bank_debit_cards']"
U1067,['cash']
U1068,['cash']
U1069,"['MasterCard-Eurocard', 'cash']"
U1070,['cash']
U1071,['cash']
U1072,"['bank_debit_cards', 'cash']"
U1073,['cash']
U1074,"['bank_debit_cards', 'cash']"
U1075,['cash']
U1076,"['VISA', 'cash', 'bank_debit_cards']"
U1077,"['VISA', 'cash', 'bank_debit_cards']"
U1078,"['VISA', 'bank_debit_cards', 'cash']"
U1079,['cash']
U1080,['cash']
U1081,['cash']
U1082,['cash']
U1083,['cash']
U1084,['cash']
U1085,['cash']
U1086,"['VISA', 'bank_debit_cards', 'cash']"
U1087,['cash']
U1088,['?']
U1089,['cash']
U1090,['cash']
U1091,['cash']
U1092,['cash']
U1093,"['American_Express', 'VISA']"
U1094,['cash']
U1095,['cash']
U1096,['cash']
U1097,['cash']
U1098,['cash']
U1099,"['cash', 'VISA']"
U1100,['cash']
U1101,['cash']
U1102,['cash']
U1103,"['cash', 'bank_debit_cards']"
U1104,"['VISA', 'cash']"
U1105,['cash']
U1106,"['bank_debit_cards', 'cash']"
U1107,"['bank_debit_cards', 'cash']"
U1108,"['VISA', 'cash', 'MasterCard-Eurocard']"
U1109,['cash']
U1110,['cash']
U1111,['cash']
U1112,['cash']
U1113,"['VISA', 'cash']"
U1114,['cash']
U1115,['cash']
U1116,"['cash', 'bank_debit_cards', 'VISA']"
U1117,"['bank_debit_cards', 'cash']"
U1118,['cash']
U1119,['cash']
U1120,['cash']
U1121,"['cash', 'bank_debit_cards']"
U1122,['?']
U1123,['cash']
U1124,['cash']
U1125,['cash']
U1126,['cash']
U1127,['cash']
U1128,['cash']
U1129,['cash']
U1130,['?']
U1131,['cash']
U1132,['cash']
U1133,"['bank_debit_cards', 'cash']"
U1134,['cash']
U1135,['cash']
U1136,['cash']
U1137,['cash']
U1138,['cash']
