userid,budget,lat,long,smoker,cuisine
U1001,['medium'],['22.139997'],['-100.978803'],['false'],['American']
U1002,['low'],['22.150087'],['-100.983325'],['false'],['Mexican']
U1003,['low'],['22.119847'],['-100.946527'],['false'],['Mexican']
U1004,['medium'],['18.867'],['-99.183'],['false'],"['Bakery', 'Breakfast-Brunch', 'Japanese', 'Contemporary', 'Mexican', 'Bagels', 'Cafe-Coffee_Shop', 'Continental-European', 'Cafeteria']"
U1005,['medium'],['22.183477'],['-100.959891'],['false'],['American']
U1006,['medium'],['22.15'],['-100.983'],['true'],['Mexican']
U1007,['low'],['22.118464'],['-100.938256'],['false'],['Family']
U1008,['low'],['22.122989'],['-100.923811'],['false'],"['Cafe-Coffee_Shop', 'Mexican', 'Juice', 'Hawaiian', 'Hot_Dogs', 'Latin_American', 'Korean', 'American', 'Cafeteria', 'Italian']"
U1009,['medium'],['22.159427'],['-100.990448'],['false'],"['Diner', 'Fast_Food', 'Family', 'Cafe-Coffee_Shop', 'Deli-Sandwiches', 'Cafeteria', 'Mexican']"
U1010,['medium'],['22.190889'],['-100.998669'],['false'],['Mexican']
U1011,['medium'],['23.724972'],['-99.152856'],['false'],['Mexican']
U1012,['medium'],['18.813348'],['-99.243697'],['false'],['Latin_American']
U1013,['medium'],['22.174624'],['-100.993873'],['false'],['Japanese']
U1014,['medium'],['23.751607'],['-99.170108'],['false'],"['Japanese', 'Fast_Food']"
U1015,['medium'],['22.12676'],['-100.905209'],['true'],['Mexican']
U1016,['medium'],['22.156247'],['-100.977402'],['false'],"['Cafe-Coffee_Shop', 'Contemporary', 'Regional', 'Fusion', 'Japanese', 'Portuguese', 'American', 'Indian-Pakistani', 'Eastern_European', 'Lebanese', 'Moroccan', 'Barbecue', 'Polynesian', 'Polish']"
U1017,['medium'],['18.952615'],['-99.201616'],['false'],['Chinese']
U1018,['low'],['22.190949'],['-100.917902'],['true'],['Mexican']
U1019,['medium'],['22.153385'],['-100.975294'],['false'],['Family']
U1020,['medium'],['18.878189'],['-99.222969'],['false'],['Mexican']
U1021,['medium'],['23.730569'],['-99.171883'],['false'],"['Pizzeria', 'Regional', 'Chinese', 'Burgers']"
U1022,['medium'],['22.146708'],['-100.964355'],['false'],['Mexican']
U1023,['low'],['23.752943'],['-99.166589'],['false'],['Mexican']
U1024,['?'],['22.154021'],['-100.976028'],['?'],['Afghan']
U1025,['medium'],['22.125603'],['-100.907844'],['false'],['Mexican']
U1026,['medium'],['23.733'],['-99.133'],['false'],['Mexican']
U1027,['low'],['22.16515'],['-100.987015'],['true'],['Family']
U1028,['medium'],['23.752874'],['-99.169242'],['false'],['Mexican']
U1029,['low'],['22.151796'],['-100.989075'],['true'],['Mexican']
U1030,['medium'],['18.844818'],['-99.182758'],['false'],['Mexican']
U1031,['medium'],['23.735698'],['-99.159851'],['false'],['Mexican']
U1032,['medium'],['22.169184'],['-100.986843'],['false'],['Mexican']
U1033,['low'],['22.15'],['-100.983'],['false'],['Mexican']
U1034,['medium'],['22.137178'],['-101.013169'],['false'],['Mexican']
U1035,['medium'],['18.839671'],['-99.223897'],['true'],['Family']
U1036,['medium'],['22.160572'],['-100.989418'],['false'],['Mexican']
U1037,['low'],['22.15031'],['-100.900536'],['false'],['Mexican']
U1038,['low'],['22.125786'],['-100.943705'],['true'],['Mexican']
U1039,['medium'],['23.738067'],['-99.139906'],['false'],['Regional']
U1040,['medium'],['18.895187'],['-99.18039'],['false'],['Pizzeria']
U1041,['medium'],['18.935191'],['-99.23624'],['false'],['Contemporary']
U1042,['high'],['18.925773'],['-99.219589'],['false'],['Mexican']
U1043,['medium'],['23.77103'],['-99.167082'],['false'],['Latin_American']
U1044,['medium'],['18.95298'],['-99.260789'],['true'],['Mexican']
U1045,['high'],['22.156724'],['-100.984268'],['false'],"['Middle_Eastern', 'Mexican', 'Mongolian', 'Moroccan']"
U1046,['medium'],['22.144415'],['-100.933097'],['false'],['Bar']
U1047,['medium'],['22.142429'],['-100.949147'],['false'],['American']
U1048,['medium'],['22.142208'],['-101.022785'],['true'],['Mexican']
U1049,['?'],['22.15'],['-100.983'],['false'],['Mexican']
U1050,['medium'],['23.758815'],['-99.171216'],['false'],['Mexican']
U1051,['medium'],['18.877719'],['-99.22299'],['false'],['Mexican']
U1052,['low'],['22.138055'],['-100.936005'],['true'],['Bakery']
U1053,['low'],['22.175833'],['-100.986671'],['false'],['Mexican']
U1054,['medium'],['22.150683'],['-100.975342'],['false'],['Mexican']
U1055,['medium'],['22.143289'],['-100.987683'],['false'],['Breakfast-Brunch']
U1056,['medium'],['22.168997'],['-100.974376'],['false'],['Mexican']
U1057,['medium'],['22.196624'],['-100.91217'],['true'],['American']
U1058,['low'],['22.205802'],['-100.986081'],['false'],['Cuban']
