userid,payment,budget,lat,long,smoker,cuisine
U1001,['cash'],['medium'],['22.139997'],['-100.978803'],['false'],['American']
U1002,['cash'],['low'],['22.150087'],['-100.983325'],['false'],['Mexican']
U1003,['cash'],['low'],['22.119847'],['-100.946527'],['false'],['Mexican']
U1004,"['cash', 'bank_debit_cards']",['medium'],['18.867'],['-99.183'],['false'],"['Bakery', 'Breakfast-Brunch', 'Japanese', 'Contemporary', 'Mexican', 'Bagels', 'Cafe-Coffee_Shop', 'Continental-European', 'Cafeteria']"
U1005,['cash'],['medium'],['22.183477'],['-100.959891'],['false'],['American']
U1006,['cash'],['medium'],['22.15'],['-100.983'],['true'],['Mexican']
U1007,['cash'],['low'],['22.118464'],['-100.938256'],['false'],['Family']
U1008,['cash'],['low'],['22.122989'],['-100.923811'],['false'],"['Cafe-Coffee_Shop', 'Mexican', 'Juice', 'Hawaiian', 'Hot_Dogs', 'Latin_American', 'Korean', 'American', 'Cafeteria', 'Italian']"
U1009,['cash'],['medium'],['22.159427'],['-100.990448'],['false'],"['Diner', 'Fast_Food', 'Family', 'Cafe-Coffee_Shop', 'Deli-Sandwiches', 'Cafeteria', 'Mexican']"
U1010,['cash'],['medium'],['22.190889'],['-100.998669'],['false'],['Mexican']
U1011,['cash'],['medium'],['23.724972'],['-99.152856'],['false'],['Mexican']
U1012,"['cash', 'bank_debit_cards']",['medium'],['18.813348'],['-99.243697'],['false'],['Latin_American']
U1013,"['MasterCard-Eurocard', 'cash']",['medium'],['22.174624'],['-100.993873'],['false'],['Japanese']
U1014,['cash'],['medium'],['23.751607'],['-99.170108'],['false'],"['Japanese', 'Fast_Food']"
U1015,['cash'],['medium'],['22.12676'],['-100.905209'],['true'],['Mexican']
U1016,['cash'],['medium'],['22.156247'],['-100.977402'],['false'],"['Cafe-Coffee_Shop', 'Contemporary', 'Regional', 'Fusion', 'Japanese', 'Portuguese', 'American', 'Indian-Pakistani', 'Eastern_European', 'Lebanese', 'Moroccan', 'Barbecue', 'Polynesian', 'Polish']"
U1017,"['cash', 'VISA']",['medium'],['18.952615'],['-99.201616'],['false'],['Chinese']
U1018,['cash'],['low'],['22.190949'],['-100.917902'],['true'],['Mexican']
U1019,['cash'],['medium'],['22.153385'],['-100.975294'],['false'],['Family']
U1020,"['cash', 'bank_debit_cards']",['medium'],['18.878189'],['-99.222969'],['false'],['Mexican']
U1021,['cash'],['medium'],['23.730569'],['-99.171883'],['false'],"['Pizzeria', 'Regional', 'Chinese', 'Burgers']"
U1022,['cash'],['medium'],['22.146708'],['-100.964355'],['false'],['Mexican']
U1023,['cash'],['low'],['23.752943'],['-99.166589'],['false'],['Mexican']
U1024,['?'],['?'],['22.154021'],['-100.976028'],['?'],['Afghan']
U1025,['?'],['medium'],['22.125603'],['-100.907844'],['false'],['Mexican']
U1026,"['cash', 'bank_debit_cards']",['medium'],['23.733'],['-99.133'],['false'],['Mexican']
U1027,['cash'],['low'],['22.16515'],['-100.987015'],['true'],['Family']
U1028,['cash'],['medium'],['23.752874'],['-99.169242'],['false'],['Mexican']
U1029,['cash'],['low'],['22.151796'],['-100.989075'],['true'],['Mexican']
U1030,['cash'],['medium'],['18.844818'],['-99.182758'],['false'],['Mexican']
U1031,"['cash', 'American_Express']",['medium'],['23.735698'],['-99.159851'],['false'],['Mexican']
U1032,['cash'],['medium'],['22.169184'],['-100.986843'],['false'],['Mexican']
U1033,['cash'],['low'],['22.15'],['-100.983'],['false'],['Mexican']
U1034,['cash'],['medium'],['22.137178'],['-101.013169'],['false'],['Mexican']
U1035,"['cash', 'VISA']",['medium'],['18.839671'],['-99.223897'],['true'],['Family']
U1036,['cash'],['medium'],['22.160572'],['-100.989418'],['false'],['Mexican']
U1037,['cash'],['low'],['22.15031'],['-100.900536'],['false'],['Mexican']
U1038,['cash'],['low'],['22.125786'],['-100.943705'],['true'],['Mexican']
U1039,['cash'],['medium'],['23.738067'],['-99.139906'],['false'],['Regional']
U1040,['cash'],['medium'],['18.895187'],['-99.18039'],['false'],['Pizzeria']
U1041,"['bank_debit_cards', 'cash', 'American_Express', 'VISA']",['medium'],['18.935191'],['-99.23624'],['false'],['Contemporary']
U1042,['bank_debit_cards'],['high'],['18.925773'],['-99.219589'],['false'],['Mexican']
U1043,['cash'],['medium'],['23.77103'],['-99.167082'],['false'],['Latin_American']
U1044,"['VISA', 'bank_debit_cards', 'cash', 'MasterCard-Eurocard']",['medium'],['18.95298'],['-99.260789'],['true'],['Mexican']
U1045,['cash'],['high'],['22.156724'],['-100.984268'],['false'],"['Middle_Eastern', 'Mexican', 'Mongolian', 'Moroccan']"
U1046,['cash'],['medium'],['22.144415'],['-100.933097'],['false'],['Bar']
U1047,['cash'],['medium'],['22.142429'],['-100.949147'],['false'],['American']
U1048,['cash'],['medium'],['22.142208'],['-101.022785'],['true'],['Mexican']
U1049,['cash'],['?'],['22.15'],['-100.983'],['false'],['Mexican']
U1050,['cash'],['medium'],['23.758815'],['-99.171216'],['false'],['Mexican']
U1051,"['VISA', 'cash']",['medium'],['18.877719'],['-99.22299'],['false'],['Mexican']
U1052,['cash'],['low'],['22.138055'],['-100.936005'],['true'],['Bakery']
U1053,['cash'],['low'],['22.175833'],['-100.986671'],['false'],['Mexican']
U1054,['cash'],['medium'],['22.150683'],['-100.975342'],['false'],['Mexican']
U1055,['cash'],['medium'],['22.143289'],['-100.987683'],['false'],['Breakfast-Brunch']
U1056,['cash'],['medium'],['22.168997'],['-100.974376'],['false'],['Mexican']
U1057,"['cash', 'VISA']",['medium'],['22.196624'],['-100.91217'],['true'],['American']
U1058,['cash'],['low'],['22.205802'],['-100.986081'],['false'],['Cuban']
U1059,['cash'],['medium'],['18.988278'],['-99.097023'],['false'],['Mexican']
U1060,['cash'],['medium'],['23.715238'],['-99.158864'],['false'],"['Burgers', 'Cafeteria', 'Pizzeria', 'Juice', 'American', 'Tex-Mex', 'Spanish', 'Mexican', 'Fast_Food', 'Cafe-Coffee_Shop', 'Soup', 'Hot_Dogs', 'Italian']"
U1061,"['cash', 'bank_debit_cards']",['medium'],['22.140388'],['-100.937321'],['false'],['Mexican']
U1062,"['VISA', 'cash']",['medium'],['22.195826'],['-101.006317'],['false'],['Mexican']
U1063,['cash'],['medium'],['23.745096'],['-99.164357'],['false'],['Mexican']
U1064,['cash'],['medium'],['22.139511'],['-100.957002'],['false'],['Mexican']
U1065,['cash'],['medium'],['23.733665'],['-99.105617'],['false'],['Mexican']
U1066,"['cash', 'bank_debit_cards']",['low'],['18.890695'],['-99.157104'],['false'],['Mexican']
U1067,['cash'],['medium'],['23.752269'],['-99.168605'],['false'],['Mexican']
U1068,['cash'],['low'],['23.752269'],['-99.168605'],['false'],['Mexican']
U1069,"['MasterCard-Eurocard', 'cash']",['medium'],['19.347641'],['-99.130229'],['false'],['Mexican']
U1070,['cash'],['low'],['23.753237'],['-99.166868'],['false'],['Mexican']
U1071,['cash'],['high'],['22.154339'],['-100.975342'],['false'],['Mexican']
U1072,"['bank_debit_cards', 'cash']",['medium'],['18.86826'],['-99.212033'],['false'],['Mexican']
U1073,['cash'],['medium'],['22.15'],['-100.983'],['false'],['American']
U1074,"['bank_debit_cards', 'cash']",['medium'],['18.917'],['-99.25'],['true'],['Sushi']
U1075,['cash'],['medium'],['22.167575'],['-100.960364'],['false'],['Mexican']
U1076,"['VISA', 'cash', 'bank_debit_cards']",['medium'],['22.156469'],['-100.98554'],['false'],['Mexican']
U1077,"['VISA', 'cash', 'bank_debit_cards']",['medium'],['22.156469'],['-100.98554'],['false'],['Mexican']
U1078,"['VISA', 'bank_debit_cards', 'cash']",['medium'],['22.172109'],['-100.963199'],['true'],['Mexican']
U1079,['cash'],['medium'],['18.917'],['-99.25'],['false'],['Mexican']
U1080,['cash'],['low'],['23.743793'],['-99.163397'],['true'],['Mexican']
U1081,['cash'],['low'],['22.207749'],['-100.942383'],['false'],['Mexican']
U1082,['cash'],['medium'],['23.753061'],['-99.166095'],['true'],['Mexican']
U1083,['cash'],['?'],['22.13392'],['-101.028373'],['false'],['Mexican']
U1084,['cash'],['medium'],['22.172524'],['-101.005758'],['true'],['Mexican']
U1085,['cash'],['?'],['22.196787'],['-100.936335'],['false'],['Mexican']
U1086,"['VISA', 'bank_debit_cards', 'cash']",['medium'],['22.157281'],['-100.98444'],['false'],['Italian']
U1087,['cash'],['medium'],['23.753336'],['-99.167984'],['false'],['Chinese']
U1088,['?'],['medium'],['22.142748'],['-100.940664'],['false'],['Mexican']
U1089,['cash'],['low'],['22.162562'],['-100.99313'],['true'],['Mexican']
U1090,['cash'],['medium'],['22.158473'],['-100.984268'],['false'],['Tex-Mex']
U1091,['cash'],['low'],['22.154677'],['-100.949013'],['false'],"['American', 'Mexican']"
U1092,['cash'],['medium'],['22.125365'],['-100.947888'],['false'],['Game']
U1093,"['American_Express', 'VISA']",['medium'],['18.871654'],['-99.183251'],['true'],['Japanese']
U1094,['cash'],['medium'],['23.73944'],['-99.160548'],['false'],['Mexican']
U1095,['cash'],['medium'],['22.179865'],['-101.018547'],['false'],['Italian']
U1096,['cash'],['medium'],['22.1455'],['-100.939593'],['false'],['Mexican']
U1097,['cash'],['medium'],['22.145471'],['-100.939588'],['false'],['Mexican']
U1098,['cash'],['medium'],['22.182571'],['-100.963232'],['false'],['Mexican']
U1099,"['cash', 'VISA']",['high'],['22.184862'],['-100.970535'],['true'],['Mexican']
U1100,['cash'],['medium'],['18.879729'],['-99.067106'],['false'],['Mexican']
U1101,['cash'],['low'],['22.150891'],['-100.974891'],['false'],"['Chinese', 'Italian', 'Doughnuts', 'Afghan', 'Mexican', 'Burgers', 'Latin_American', 'Contemporary', 'Cafe-Coffee_Shop', 'Family', 'Cafeteria', 'Bar', 'Australian', 'Hot_Dogs', 'Diner']"
U1102,['cash'],['low'],['22.137131'],['-100.941151'],['false'],['Pizzeria']
U1103,"['cash', 'bank_debit_cards']",['medium'],['23.752265'],['-99.16859'],['false'],['Mexican']
U1104,"['VISA', 'cash']",['medium'],['22.149005'],['-100.978153'],['true'],['Italian']
U1105,['cash'],['medium'],['22.120019'],['-100.950991'],['false'],['Cafeteria']
U1106,"['bank_debit_cards', 'cash']",['medium'],['18.927072'],['-99.173584'],['false'],['Barbecue']
U1107,"['bank_debit_cards', 'cash']",['high'],['23.742409'],['-99.171889'],['false'],['Mexican']
U1108,"['VISA', 'cash', 'MasterCard-Eurocard']",['medium'],['22.143524'],['-100.987562'],['false'],"['Cafe-Coffee_Shop', 'Sushi', 'Latin_American', 'Deli-Sandwiches', 'Mexican', 'Hot_Dogs', 'American', 'Fast_Food', 'Burgers', 'Asian', 'Pizzeria', 'Chinese', 'Dessert-Ice_Cream', 'Cafeteria', 'Japanese', 'Game', 'Family', 'Seafood']"
U1109,['cash'],['low'],['22.303308'],['-101.05468'],['false'],['Mexican']
U1110,['cash'],['medium'],['18.871678'],['-99.183263'],['false'],['Mexican']
U1111,['cash'],['medium'],['22.143078'],['-100.908523'],['true'],['Mexican']
U1112,['cash'],['medium'],['22.143078'],['-100.908523'],['true'],['Mexican']
U1113,"['VISA', 'cash']",['medium'],['22.137343'],['-100.913935'],['false'],['Burgers']
U1114,['cash'],['medium'],['22.177726'],['-101.014094'],['false'],['Mexican']
U1115,['cash'],['low'],['22.138127'],['-100.920512'],['true'],['Regional']
U1116,"['cash', 'bank_debit_cards', 'VISA']",['medium'],['22.156469'],['-100.98554'],['false'],['Mexican']
U1117,"['bank_debit_cards', 'cash']",['medium'],['18.875641'],['-99.220737'],['false'],['Turkish']
U1118,['cash'],['medium'],['18.940062'],['-99.228172'],['true'],['Pizzeria']
U1119,['cash'],['medium'],['18.96479'],['-99.260017'],['false'],['Mexican']
U1120,['cash'],['low'],['22.121857'],['-100.904279'],['false'],['Mexican']
U1121,"['cash', 'bank_debit_cards']",['medium'],['18.871674'],['-99.183253'],['false'],['Mexican']
U1122,['?'],['?'],['22.169601'],['-100.991821'],['?'],['Afghan']
U1123,['cash'],['medium'],['23.753112'],['-99.168567'],['false'],['Mexican']
U1124,['cash'],['low'],['22.137072'],['-100.918865'],['false'],['Mexican']
U1125,['cash'],['low'],['22.19204'],['-100.956935'],['false'],['Mexican']
U1126,['cash'],['low'],['22.15421'],['-100.942233'],['false'],['Mexican']
U1127,['cash'],['low'],['18.943935'],['-99.206532'],['false'],['Mexican']
U1128,['cash'],['low'],['22.187236'],['-100.994213'],['false'],"['Cafeteria', 'Hot_Dogs', 'Pizzeria', 'Mexican']"
U1129,['cash'],['low'],['23.728798'],['-99.134047'],['false'],['Mexican']
U1130,['?'],['?'],['23.733'],['-99.133'],['?'],['Mexican']
U1131,['cash'],['medium'],['22.138245'],['-100.910948'],['true'],['Mexican']
U1132,['cash'],['?'],['22.15'],['-100.983'],['false'],['Mexican']
U1133,"['bank_debit_cards', 'cash']",['medium'],['18.886698'],['-99.114979'],['false'],['Mexican']
U1134,['cash'],['medium'],['22.149654'],['-100.99861'],['false'],['Mexican']
U1135,['cash'],['low'],['22.170396'],['-100.949936'],['false'],"['Organic-Healthy', 'Steaks', 'Middle_Eastern', 'Mediterranean', 'British', 'Austrian', 'Israeli', 'Doughnuts', 'Pizzeria', 'Seafood', 'Fast_Food', 'Moroccan', 'Hot_Dogs', 'Russian-Ukrainian', 'Malaysian', 'Burgers', 'Fusion', 'Korean', 'Japanese', 'Vegetarian', 'Turkish', 'Peruvian', 'Juice', 'Tapas', 'Eclectic', 'African', 'Basque', 'Canadian', 'Afghan', 'Diner', 'Irish', 'Sushi', 'Polynesian', 'Bagels', 'Tex-Mex', 'Cuban', 'Southwestern', 'Cafe-Coffee_Shop', 'Continental-European', 'Family', 'Indian-Pakistani', 'Tea_House', 'International', 'Pacific_Northwest', 'Australian', 'German', 'Regional', 'Spanish', 'Persian', 'Ethiopian', 'Romanian', 'Cambodian', 'Pacific_Rim', 'Tunisian', 'Filipino', 'Dim_Sum', 'Breakfast-Brunch', 'Contemporary', 'Greek', 'Thai', 'Swiss', 'Bar', 'Soup', 'American', 'Mongolian', 'Cajun-Creole', 'Armenian', 'Indigenous', 'Bar_Pub_Brewery', 'Hawaiian', 'Cafeteria', 'Lebanese', 'Chinese', 'Portuguese', 'Caribbean', 'Indonesian', 'Hungarian', 'Bakery', 'Dutch-Belgian', 'Deli-Sandwiches', 'Kosher', 'Fine_Dining', 'Jamaican', 'Tibetan', 'Latin_American', 'Southeast_Asian', 'Eastern_European', 'Mexican', 'Burmese', 'California', 'Game', 'Italian', 'Scandinavian', 'Chilean', 'Polish', 'North_African', 'Asian', 'Vietnamese', 'Barbecue', 'French', 'Brazilian', 'Southern', 'Dessert-Ice_Cream']"
U1136,['cash'],['low'],['22.149607'],['-100.997235'],['true'],['Mexican']
U1137,['cash'],['low'],['22.144803'],['-100.944623'],['false'],['Mexican']
U1138,['cash'],['medium'],['22.152884'],['-100.939663'],['false'],['Pizzeria']
