,cuisine,lat,long,name,payment,placeid,price,rating,smoking_area
0,['Regional'],['23.7523041'],['-99.1669133'],['puesto de gorditas'],['cash'],132560,['low'],1.46,['permitted']
1,['Cafeteria'],['22.1416471'],['-100.9927118'],['Cafe Chaires'],['cash'],132572,['low'],2.44,['not permitted']
2,['American'],['18.9222904'],['-99.234332'],['McDonalds Centro'],['cash'],132583,['low'],2.71,['not permitted']
3,['Mexican'],['23.7523648'],['-99.1652879'],['Gorditas Dona Tota'],['cash'],132584,['medium'],3.19,['not permitted']
4,['Mexican'],['23.7521677'],['-99.165709'],['tacos de barbacoa enfrente del Tec'],['cash'],132594,['low'],2,['not permitted']
5,['Mexican'],['23.7588052'],['-99.1651297'],['Hamburguesas La perica'],['cash'],132608,['low'],2.5,['permitted']
6,['Fast_Food'],['23.7602683'],['-99.1658646'],['Pollo_Frito_Buenos_Aires'],['cash'],132609,['low'],1.5,['not permitted']
7,['Mexican'],['23.7529035'],['-99.165076'],['carnitas_mata'],['cash'],132613,['medium'],2.92,['permitted']
8,['Italian'],['23.7375834'],['-99.1351318'],['la perica hamburguesa'],"['cash', 'American_Express']",132626,['medium'],2.71,['none']
9,['Armenian'],['23.7526973'],['-99.1633594'],['little pizza Emilio Portes Gil'],['cash'],132667,['low'],3.75,['none']
10,['Mexican'],['23.7292162'],['-99.1323571'],['Gorditas Dona Tota'],"['cash', 'VISA']",132706,['medium'],2.5,['not permitted']
11,['Mexican'],['23.7324226'],['-99.1586602'],['tacos de la estacion'],['cash'],132715,['low'],2.08,['none']
12,['Fast_Food'],['23.7318602'],['-99.1504365'],['tortas hawai'],['cash'],132717,['medium'],3.06,['not permitted']
13,['Mexican'],['22.1489337'],['-101.019845'],['Gordas de morales'],"['cash', 'VISA']",132723,['medium'],3.33,['section']
14,['Mexican'],['23.7543569'],['-99.171288'],['Taqueria EL amigo '],['cash'],132732,['low'],2.08,['none']
15,['Pizzeria'],['23.7527071'],['-99.1625655'],['Little Cesarz'],"['cash', 'VISA', 'MasterCard-Eurocard', 'bank_debit_cards']",132733,['medium'],3.17,['not permitted']
16,['Mexican'],['23.7521965'],['-99.1666317'],['Carreton de Flautas y Migadas'],['cash'],132740,['low'],2.19,['permitted']
17,['Mexican'],['22.1477379'],['-100.9906163'],['Cabana Huasteca'],['cash'],132754,['medium'],3.53,['none']
18,['Mexican'],['22.153324'],['-101.0195459'],['La Estrella de Dimas'],"['cash', 'VISA', 'American_Express', 'bank_debit_cards']",132755,['medium'],4.5,['none']
19,['Japanese'],['18.9101777'],['-99.2315438'],['Mikasa'],['cash'],132766,['medium'],1.94,['none']
20,['Vietnamese'],['18.8820871'],['-99.1630268'],['Restaurant Familiar El Chino'],"['cash', 'VISA', 'American_Express']",132767,['medium'],3.06,['permitted']
21,['Family'],['18.9257734'],['-99.2326355'],['Mariscos Tia Licha'],"['cash', 'bank_debit_cards']",132768,['medium'],3.92,['not permitted']
22,"['Family', 'Mexican']",['18.8699929'],['-99.2103195'],['El cotorreo'],['cash'],132773,['low'],3.75,['permitted']
23,['Mexican'],['22.1473922'],['-100.983092'],['puesto de tacos'],['cash'],132825,['low'],2.97,['none']
24,['Mexican'],['22.156469'],['-100.98554'],['Gorditas Doa Gloria'],['cash'],132834,['low'],2.5,['not permitted']
25,['Mexican'],['22.1262926'],['-100.9007764'],['Cenaduria El Rinc\xc3\xb3n de Tlaquepaque'],['cash'],132845,['medium'],1.83,['none']
26,['International'],['22.1422732'],['-100.9426537'],['el lechon potosino '],['cash'],132846,['low'],3.33,['permitted']
27,"['American', 'Game']",['22.136872'],['-100.9345736'],['KFC'],['cash'],132851,['low'],2.86,['not permitted']
28,['International'],['22.1378633'],['-100.9383273'],['Sirlone'],"['cash', 'VISA', 'bank_debit_cards']",132854,['medium'],3.47,['none']
29,['Italian'],['22.1513782'],['-100.9746337'],['Unicols Pizza'],['cash'],132856,['low'],2.38,['none']
30,['Burgers'],['22.1312917'],['-100.9371941'],['Hamburguesas Valle Dorado'],['cash'],132858,['low'],2.33,['none']
31,['Burgers'],['22.1480965'],['-101.0173023'],['Carls Jr'],"['cash', 'VISA', 'MasterCard-Eurocard', 'American_Express', 'bank_debit_cards']",132861,['medium'],3.69,['not permitted']
32,['International'],['22.1506429'],['-100.9870148'],['La Posada del Virrey'],"['cash', 'VISA', 'MasterCard-Eurocard', 'American_Express', 'bank_debit_cards']",132862,['high'],3.52,['none']
33,"['Bakery', 'Cafeteria']",['22.1412198'],['-100.9313107'],['Chaires'],['cash'],132866,['medium'],3.5,['not permitted']
34,['Pizzeria'],['22.1412384'],['-100.9239252'],['Dominos Pizza'],['cash'],132869,['medium'],3.06,['not permitted']
35,['Burgers'],['22.1430781'],['-100.9354788'],['Tortas y hamburguesas el gordo'],['cash'],132870,['low'],1.67,['not permitted']
36,['American'],['22.1735955'],['-100.9946027'],['Pizzeria Julios'],"['cash', 'bank_debit_cards']",132872,['medium'],2.71,['not permitted']
37,['Japanese'],['22.1499013'],['-100.9937793'],['shi ro ie'],"['cash', 'VISA', 'MasterCard-Eurocard', 'American_Express', 'bank_debit_cards']",132875,['high'],2.92,['section']
38,['Mexican'],['22.1795169'],['-100.9584358'],['Hamburguesas saul'],['cash'],132885,['low'],1.33,['none']
39,['Bar'],['22.150305'],['-100.9891337'],['crudalia'],['cash'],132921,['low'],2.7,['section']
40,['Cafeteria'],['22.1511348'],['-100.9823115'],['cafe punta del cielo'],['cash'],132922,['medium'],4.31,['permitted']
41,['Mexican'],['22.1534997'],['-100.976243'],['el pueblito'],['cash'],132925,['medium'],2.83,['not permitted']
42,['Bar'],['22.1500193'],['-100.9799203'],['rockabilly '],['cash'],132937,['low'],2.92,['section']
43,['American'],['22.1544736'],['-100.9858091'],['VIPS'],['cash'],132951,['low'],2.33,['not permitted']
44,['Breakfast-Brunch'],['22.1603808'],['-100.9880447'],['la parroquia'],"['cash', 'VISA', 'MasterCard-Eurocard', 'bank_debit_cards']",132954,['medium'],2.22,['not permitted']
45,['Bar_Pub_Brewery'],['22.147622'],['-101.0102749'],['emilianos'],"['cash', 'VISA', 'MasterCard-Eurocard', 'bank_debit_cards', 'Carte_Blanche']",132955,['low'],4.67,['none']
46,['American'],['22.1449787'],['-101.0056829'],['tacos los volcanes'],"['cash', 'VISA', 'MasterCard-Eurocard', 'American_Express', 'bank_debit_cards']",132958,['low'],3.89,['none']
47,"['Mexican', 'Mediterranean', 'Burgers']",['18.916654'],['-99.22711'],['Log Yin'],"['VISA', 'MasterCard-Eurocard', 'American_Express', 'checks']",134976,['low'],3.75,['none']
48,"['Bar', 'Bar_Pub_Brewery']",['18.948657'],['-99.235361'],['Restaurant and Bar and Clothesline Carlos N Charlies'],"['cash', 'VISA', 'MasterCard-Eurocard']",134983,['high'],2.67,['section']
49,['Mexican'],['18.859803'],['-99.222164'],['El Oceano Dorado'],"['cash', 'VISA', 'MasterCard-Eurocard', 'bank_debit_cards']",135018,['medium'],3.96,['permitted']
