,userid,payment,budget,lat,long,smoker,cuisine
0,U1001,['cash'],['medium'],['22.139997'],['-100.978803'],['false'],['American']
1,U1002,['cash'],['low'],['22.150087'],['-100.983325'],['false'],['Mexican']
2,U1003,['cash'],['low'],['22.119847'],['-100.946527'],['false'],['Mexican']
3,U1004,"['cash', 'bank_debit_cards']",['medium'],['18.867'],['-99.183'],['false'],"['Bakery', 'Breakfast-Brunch', 'Japanese', 'Contemporary', 'Mexican', 'Bagels', 'Cafe-Coffee_Shop', 'Continental-European', 'Cafeteria']"
4,U1005,['cash'],['medium'],['22.183477'],['-100.959891'],['false'],['American']
5,U1006,['cash'],['medium'],['22.15'],['-100.983'],['true'],['Mexican']
6,U1007,['cash'],['low'],['22.118464'],['-100.938256'],['false'],['Family']
7,U1008,['cash'],['low'],['22.122989'],['-100.923811'],['false'],"['Cafe-Coffee_Shop', 'Mexican', 'Juice', 'Hawaiian', 'Hot_Dogs', 'Latin_American', 'Korean', 'American', 'Cafeteria', 'Italian']"
8,U1009,['cash'],['medium'],['22.159427'],['-100.990448'],['false'],"['Diner', 'Fast_Food', 'Family', 'Cafe-Coffee_Shop', 'Deli-Sandwiches', 'Cafeteria', 'Mexican']"
9,U1010,['cash'],['medium'],['22.190889'],['-100.998669'],['false'],['Mexican']
10,U1011,['cash'],['medium'],['23.724972'],['-99.152856'],['false'],['Mexican']
11,U1012,"['cash', 'bank_debit_cards']",['medium'],['18.813348'],['-99.243697'],['false'],['Latin_American']
12,U1013,"['MasterCard-Eurocard', 'cash']",['medium'],['22.174624'],['-100.993873'],['false'],['Japanese']
13,U1014,['cash'],['medium'],['23.751607'],['-99.170108'],['false'],"['Japanese', 'Fast_Food']"
14,U1015,['cash'],['medium'],['22.12676'],['-100.905209'],['true'],['Mexican']
15,U1016,['cash'],['medium'],['22.156247'],['-100.977402'],['false'],"['Cafe-Coffee_Shop', 'Contemporary', 'Regional', 'Fusion', 'Japanese', 'Portuguese', 'American', 'Indian-Pakistani', 'Eastern_European', 'Lebanese', 'Moroccan', 'Barbecue', 'Polynesian', 'Polish']"
16,U1017,"['cash', 'VISA']",['medium'],['18.952615'],['-99.201616'],['false'],['Chinese']
17,U1018,['cash'],['low'],['22.190949'],['-100.917902'],['true'],['Mexican']
18,U1019,['cash'],['medium'],['22.153385'],['-100.975294'],['false'],['Family']
19,U1020,"['cash', 'bank_debit_cards']",['medium'],['18.878189'],['-99.222969'],['false'],['Mexican']
20,U1021,['cash'],['medium'],['23.730569'],['-99.171883'],['false'],"['Pizzeria', 'Regional', 'Chinese', 'Burgers']"
21,U1022,['cash'],['medium'],['22.146708'],['-100.964355'],['false'],['Mexican']
22,U1023,['cash'],['low'],['23.752943'],['-99.166589'],['false'],['Mexican']
23,U1024,['cash'],['medium'],['22.154021'],['-100.976028'],['false'],['Afghan']
24,U1025,['cash'],['medium'],['22.125603'],['-100.907844'],['false'],['Mexican']
25,U1026,"['cash', 'bank_debit_cards']",['medium'],['23.733'],['-99.133'],['false'],['Mexican']
26,U1027,['cash'],['low'],['22.16515'],['-100.987015'],['true'],['Family']
27,U1028,['cash'],['medium'],['23.752874'],['-99.169242'],['false'],['Mexican']
28,U1029,['cash'],['low'],['22.151796'],['-100.989075'],['true'],['Mexican']
29,U1030,['cash'],['medium'],['18.844818'],['-99.182758'],['false'],['Mexican']
30,U1031,"['cash', 'American_Express']",['medium'],['23.735698'],['-99.159851'],['false'],['Mexican']
31,U1032,['cash'],['medium'],['22.169184'],['-100.986843'],['false'],['Mexican']
32,U1033,['cash'],['low'],['22.15'],['-100.983'],['false'],['Mexican']
33,U1034,['cash'],['medium'],['22.137178'],['-101.013169'],['false'],['Mexican']
34,U1035,"['cash', 'VISA']",['medium'],['18.839671'],['-99.223897'],['true'],['Family']
35,U1036,['cash'],['medium'],['22.160572'],['-100.989418'],['false'],['Mexican']
36,U1037,['cash'],['low'],['22.15031'],['-100.900536'],['false'],['Mexican']
37,U1038,['cash'],['low'],['22.125786'],['-100.943705'],['true'],['Mexican']
38,U1039,['cash'],['medium'],['23.738067'],['-99.139906'],['false'],['Regional']
39,U1040,['cash'],['medium'],['18.895187'],['-99.18039'],['false'],['Pizzeria']
40,U1041,"['bank_debit_cards', 'cash', 'American_Express', 'VISA']",['medium'],['18.935191'],['-99.23624'],['false'],['Contemporary']
41,U1042,['bank_debit_cards'],['high'],['18.925773'],['-99.219589'],['false'],['Mexican']
42,U1043,['cash'],['medium'],['23.77103'],['-99.167082'],['false'],['Latin_American']
43,U1044,"['VISA', 'bank_debit_cards', 'cash', 'MasterCard-Eurocard']",['medium'],['18.95298'],['-99.260789'],['true'],['Mexican']
44,U1045,['cash'],['high'],['22.156724'],['-100.984268'],['false'],"['Middle_Eastern', 'Mexican', 'Mongolian', 'Moroccan']"
45,U1046,['cash'],['medium'],['22.144415'],['-100.933097'],['false'],['Bar']
46,U1047,['cash'],['medium'],['22.142429'],['-100.949147'],['false'],['American']
47,U1048,['cash'],['medium'],['22.142208'],['-101.022785'],['true'],['Mexican']
48,U1049,['cash'],['medium'],['22.15'],['-100.983'],['false'],['Mexican']
49,U1050,['cash'],['medium'],['23.758815'],['-99.171216'],['false'],['Mexican']
50,U1051,"['VISA', 'cash']",['medium'],['18.877719'],['-99.22299'],['false'],['Mexican']
51,U1052,['cash'],['low'],['22.138055'],['-100.936005'],['true'],['Bakery']
52,U1053,['cash'],['low'],['22.175833'],['-100.986671'],['false'],['Mexican']
53,U1054,['cash'],['medium'],['22.150683'],['-100.975342'],['false'],['Mexican']
54,U1055,['cash'],['medium'],['22.143289'],['-100.987683'],['false'],['Breakfast-Brunch']
55,U1056,['cash'],['medium'],['22.168997'],['-100.974376'],['false'],['Mexican']
56,U1057,"['cash', 'VISA']",['medium'],['22.196624'],['-100.91217'],['true'],['American']
57,U1058,['cash'],['low'],['22.205802'],['-100.986081'],['false'],['Cuban']
58,U1059,['cash'],['medium'],['18.988278'],['-99.097023'],['false'],['Mexican']
