placeid,lat,long,name,price,smoking_area
132560,['23.7523041'],['-99.1669133'],['puesto de gorditas'],['low'],['permitted']
132561,['23.726819'],['-99.1265059'],['cafe ambar'],['low'],['none']
132564,['23.7309245'],['-99.1451848'],['churchs'],['low'],['none']
132572,['22.1416471'],['-100.9927118'],['Cafe Chaires'],['low'],['not permitted']
132583,['18.9222904'],['-99.234332'],['McDonalds Centro'],['low'],['not permitted']
132584,['23.7523648'],['-99.1652879'],['Gorditas Dona Tota'],['medium'],['not permitted']
132594,['23.7521677'],['-99.165709'],['tacos de barbacoa enfrente del Tec'],['low'],['not permitted']
132608,['23.7588052'],['-99.1651297'],['Hamburguesas La perica'],['low'],['permitted']
132609,['23.7602683'],['-99.1658646'],['Pollo_Frito_Buenos_Aires'],['low'],['not permitted']
132613,['23.7529035'],['-99.165076'],['carnitas_mata'],['medium'],['permitted']
132626,['23.7375834'],['-99.1351318'],['la perica hamburguesa'],['medium'],['none']
132630,['23.7529305'],['-99.1644725'],['palomo tec'],['low'],['none']
132654,['23.7355234'],['-99.1295877'],['Carnitas Mata  Calle 16 de Septiembre'],['low'],['none']
132660,['23.7529428'],['-99.1646791'],['carnitas mata calle Emilio Portes Gil'],['low'],['none']
132663,['23.7525107'],['-99.1669536'],['tacos abi'],['low'],['none']
132665,['23.7367977'],['-99.1342413'],['TACOS CORRECAMINOS'],['low'],['none']
132667,['23.7526973'],['-99.1633594'],['little pizza Emilio Portes Gil'],['low'],['none']
132668,['23.738212'],['-99.1519547'],['TACOS EL GUERO'],['low'],['none']
132706,['23.7292162'],['-99.1323571'],['Gorditas Dona Tota'],['medium'],['not permitted']
132715,['23.7324226'],['-99.1586602'],['tacos de la estacion'],['low'],['none']
132717,['23.7318602'],['-99.1504365'],['tortas hawai'],['?'],['not permitted']
132723,['22.1489337'],['-101.019845'],['Gordas de morales'],['medium'],['section']
132732,['23.7543569'],['-99.171288'],['Taqueria EL amigo '],['low'],['none']
132733,['23.7527071'],['-99.1625655'],['Little Cesarz'],['medium'],['not permitted']
132740,['23.7521965'],['-99.1666317'],['Carreton de Flautas y Migadas'],['low'],['permitted']
132754,['22.1477379'],['-100.9906163'],['Cabana Huasteca'],['medium'],['none']
132755,['22.153324'],['-101.0195459'],['La Estrella de Dimas'],['medium'],['none']
132766,['18.9101777'],['-99.2315438'],['Mikasa'],['medium'],['none']
132767,['18.8820871'],['-99.1630268'],['Restaurant Familiar El Chino'],['?'],['permitted']
132768,['18.9257734'],['-99.2326355'],['Mariscos Tia Licha'],['?'],['not permitted']
132773,['18.8699929'],['-99.2103195'],['El cotorreo'],['low'],['permitted']
132825,['22.1473922'],['-100.983092'],['puesto de tacos'],['low'],['none']
132830,['22.1508494'],['-100.9397522'],['Rincon Huasteco'],['low'],['none']
132834,['22.156469'],['-100.98554'],['Gorditas Doa Gloria'],['low'],['not permitted']
132845,['22.1262926'],['-100.9007764'],['Cenaduria El Rinc\xc3\xb3n de Tlaquepaque'],['medium'],['none']
132846,['22.1422732'],['-100.9426537'],['el lechon potosino '],['low'],['permitted']
132847,['22.1443365'],['-100.9373825'],['don burguers'],['low'],['none']
132851,['22.136872'],['-100.9345736'],['KFC'],['low'],['not permitted']
132854,['22.1378633'],['-100.9383273'],['Sirlone'],['medium'],['none']
132856,['22.1513782'],['-100.9746337'],['Unicols Pizza'],['low'],['none']
132858,['22.1312917'],['-100.9371941'],['Hamburguesas Valle Dorado'],['low'],['none']
132861,['22.1480965'],['-101.0173023'],['Carls Jr'],['medium'],['not permitted']
132862,['22.1506429'],['-100.9870148'],['La Posada del Virrey'],['high'],['none']
132866,['22.1412198'],['-100.9313107'],['Chaires'],['medium'],['not permitted']
132869,['22.1412384'],['-100.9239252'],['Dominos Pizza'],['medium'],['not permitted']
132870,['22.1430781'],['-100.9354788'],['Tortas y hamburguesas el gordo'],['low'],['not permitted']
132872,['22.1735955'],['-100.9946027'],['Pizzeria Julios'],['medium'],['not permitted']
132875,['22.1499013'],['-100.9937793'],['shi ro ie'],['high'],['section']
132877,['22.1353639'],['-100.9349477'],['sirloin stockade'],['low'],['none']
132884,['22.1395776'],['-101.0278863'],['dairy queen'],['low'],['none']
132885,['22.1795169'],['-100.9584358'],['Hamburguesas saul'],['low'],['none']
132921,['22.150305'],['-100.9891337'],['crudalia'],['low'],['section']
132922,['22.1511348'],['-100.9823115'],['cafe punta del cielo'],['medium'],['permitted']
132925,['22.1534997'],['-100.976243'],['el pueblito'],['medium'],['not permitted']
132937,['22.1500193'],['-100.9799203'],['rockabilly '],['low'],['section']
132951,['22.1544736'],['-100.9858091'],['VIPS'],['low'],['not permitted']
132954,['22.1603808'],['-100.9880447'],['la parroquia'],['medium'],['not permitted']
132955,['22.147622'],['-101.0102749'],['emilianos'],['low'],['none']
132958,['22.1449787'],['-101.0056829'],['tacos los volcanes'],['low'],['none']
134975,['18.940828'],['-99.215426'],['Rincon del Bife'],['high'],['section']
134976,['18.916654'],['-99.22711'],['Log Yin'],['low'],['none']
134983,['18.948657'],['-99.235361'],['Restaurant and Bar and Clothesline Carlos N Charlies'],['high'],['section']
134986,['18.928798'],['-99.239513'],['Restaurant Las Mananitas'],['high'],['none']
134987,['18.932725'],['-99.225211'],['Chilis Cuernavaca'],['medium'],['none']
134992,['18.936683'],['-99.247366'],['Restaurant Teely'],['high'],['section']
134996,['18.923429'],['-99.216413'],['Sanborns Casa Piedra'],['medium'],['only at bar']
134999,['18.915421'],['-99.184871'],['Kiku Cuernavaca'],['medium'],['none']
135000,['18.870565'],['-99.226938'],['Restaurant los Pinos'],['medium'],['none']
135001,['18.941859'],['-99.241927'],['Vips'],['medium'],['none']
135011,['18.91061'],['-99.169539'],['Los Vikingos'],['medium'],['none']
135013,['18.917441'],['-99.165945'],['Giovannis'],['low'],['none']
135016,['18.869347'],['-99.209944'],['Arrachela Grill'],['medium'],['none']
135018,['18.859803'],['-99.222164'],['El Oceano Dorado'],['?'],['permitted']
135019,['18.875011'],['-99.159422'],['Restaurant Bar Coty y Pablo'],['low'],['none']
135021,['18.933537'],['-99.222497'],['Subway'],['low'],['not permitted']
135025,['22.14955'],['-100.97797'],['El Rincon de San Francisco'],['medium'],['none']
135026,['22.148665'],['-101.001273'],['la Cantina'],['high'],['none']
135027,['22.147145'],['-100.974494'],['Restaurant Orizatlan'],['medium'],['none']
135028,['22.146658'],['-100.987219'],['La Virreina'],['medium'],['none']
135030,['22.14788'],['-100.989472'],['Preambulo Wifi Zone Cafe'],['medium'],['none']
135032,['22.152481'],['-100.973486'],['Cafeteria y Restaurant El Pacifico'],['medium'],['section']
135033,['22.14161'],['-100.973142'],['Restaurant El Muladar de Calzada'],['medium'],['section']
135034,['22.140517'],['-101.021422'],['Michiko Restaurant Japones'],['medium'],['none']
135035,['22.145813'],['-101.018032'],['El Mundo de la Pasta'],['high'],['section']
135038,['22.155651'],['-100.977767'],['Restaurant la Chalita'],['medium'],['section']
135039,['22.145893'],['-100.97487'],['Restaurant de Mariscos de Picon'],['low'],['section']
135040,['22.135617'],['-100.969709'],['Restaurant los Compadres'],['high'],['none']
135041,['22.15106'],['-100.977659'],['Luna Cafe'],['medium'],['none']
135042,['22.159357'],['-100.973411'],['Restaurant Oriental Express'],['medium'],['none']
135043,['22.185756'],['-100.944518'],['pizza clasica'],['medium'],['none']
135044,['22.141848'],['-100.997475'],['Restaurant Wu Zhuo Yi'],['medium'],['none']
135045,['22.151189'],['-100.98179'],['Restaurante la Gran Via'],['high'],['none']
135046,['22.141282'],['-101.002958'],['Restaurante El Reyecito'],['medium'],['none']
135047,['22.150921'],['-100.993828'],['Restaurante Casa de las Flores'],['high'],['section']
135048,['22.142017'],['-100.999246'],['Restaurante Bar Fu-hao'],['high'],['none']
135049,['22.135011'],['-101.0286'],['Restaurante de Mariscos la Langosta'],['medium'],['none']
135050,['22.174887'],['-100.970825'],['Restaurante la Estrella de Dima'],['high'],['none']
135051,['22.151189'],['-100.977058'],['Restaurante Versalles'],['low'],['section']
135052,['22.150981'],['-100.977412'],['La Cantina Restaurante'],['high'],['none']
135053,['22.178931'],['-101.012861'],['La Fontana Pizza Restaurante and Cafe'],['high'],['section']
135054,['22.140626'],['-100.915657'],['Restaurante y Pescaderia Tampico'],['?'],['none']
135055,['22.148854'],['-101.008472'],['la Cochinita Pibil Restaurante Yucateco'],['high'],['section']
135057,['22.145992'],['-100.955118'],['El Herradero Restaurante and Bar'],['medium'],['section']
135058,['22.165587'],['-101.001273'],['Restaurante Tiberius'],['?'],['none']
135059,['22.145108'],['-100.989547'],['Restaurant Bar Hacienda los Martinez'],['medium'],['section']
135060,['22.156883'],['-100.978485'],['Restaurante Marisco Sam'],['medium'],['none']
135062,['22.153703'],['-100.979033'],['Restaurante El Cielo Potosino'],['medium'],['none']
