placeid,cuisine
132001,['Dutch-Belgian']
132002,['Seafood']
132003,['International']
132004,['Seafood']
132005,"['French', 'Seafood']"
132006,['Dutch-Belgian']
132007,['Mediterranean']
132008,['International']
132009,['International']
132010,"['Mediterranean', 'Dutch-Belgian']"
132012,"['French', 'Dutch-Belgian']"
132013,['International']
132014,['Dutch-Belgian']
132015,['Dutch-Belgian']
132016,['International']
132017,['Dutch-Belgian']
132018,['Dutch-Belgian']
132019,['Dutch-Belgian']
132020,['International']
132021,['Dutch-Belgian']
132022,['Dutch-Belgian']
132023,"['French', 'Dutch-Belgian']"
132024,"['Seafood', 'Continental-European']"
132025,['Dutch-Belgian']
132026,['Dutch-Belgian']
132028,"['Italian', 'Seafood']"
132030,"['French', 'Dutch-Belgian']"
132031,"['Family', 'German', 'Fine_Dining']"
132083,['International']
132087,['Cafe-Coffee_Shop']
132092,['Family']
132094,['Pizzeria']
132096,['Dutch-Belgian']
132097,['Cafe-Coffee_Shop']
132098,['Dutch-Belgian']
132100,"['American', 'Bar_Pub_Brewery']"
132101,"['American', 'Bar_Pub_Brewery']"
132102,['Cafe-Coffee_Shop']
132103,['Italian']
132105,['French']
132106,['Vegetarian']
132107,['Japanese']
132108,"['Japanese', 'Steaks', 'Sushi']"
132109,"['Vegetarian', 'Organic-Healthy']"
132114,['Cafe-Coffee_Shop']
132115,['Asian']
132116,['Asian']
132118,['Vegetarian']
132119,['Vegetarian']
132120,['Asian']
132121,['Italian']
132125,"['Family', 'Mexican']"
132126,"['Family', 'Mexican']"
132127,['Eastern_European']
132128,"['Vegetarian', 'Fast_Food']"
132130,['Turkish']
132131,['Italian']
132132,['Pizzeria']
132133,['Japanese']
132136,['Pizzeria']
132137,"['Pizzeria', 'Deli-Sandwiches']"
132138,['Bakery']
132145,['Deli-Sandwiches']
132146,['Deli-Sandwiches']
132147,"['Pizzeria', 'Deli-Sandwiches']"
132155,"['French', 'Mediterranean']"
132156,['Dutch-Belgian']
132157,['Greek']
132159,['French']
132160,['Dutch-Belgian']
132161,"['French', 'International']"
132162,['International']
132163,['Cafe-Coffee_Shop']
132164,['International']
132165,['International']
132166,"['French', 'International', 'Dutch-Belgian']"
132167,['Bar_Pub_Brewery']
132171,"['Asian', 'Chinese']"
132174,['Chinese']
132175,['Chinese']
132177,"['Bagels', 'Cafe-Coffee_Shop', 'Deli-Sandwiches']"
132180,['Italian']
