placeid,payment
132002,"['MasterCard-Eurocard', 'Visa', 'American_Express', 'Diners_Club']"
132012,"['Visa', 'American_Express', 'bank_debit_cards', 'Diners_Club']"
132019,"['MasterCard-Eurocard', 'Visa', 'American_Express', 'Diners_Club']"
132023,"['American_Express', 'Japan_Credit_Bureau', 'bank_debit_cards', 'Diners_Club']"
132024,"['Visa', 'American_Express', 'bank_debit_cards', 'Diners_Club']"
132026,"['Visa', 'American_Express', 'bank_debit_cards', 'Diners_Club']"
132030,"['Visa', 'American_Express', 'gift_certificates', 'bank_debit_cards', 'Diners_Club']"
132031,"['MasterCard-Eurocard', 'checks', 'Discover', 'Visa', 'gift_certificates', 'bank_debit_cards']"
132103,['American_Express']
132106,"['MasterCard-Eurocard', 'Visa', 'American_Express', 'Diners_Club']"
132107,"['Visa', 'American_Express', 'bank_debit_cards', 'Diners_Club']"
132109,"['MasterCard-Eurocard', 'Visa', 'American_Express']"
132111,"['MasterCard-Eurocard', 'Visa', 'American_Express', 'bank_debit_cards', 'Diners_Club']"
132115,['American_Express']
132116,['American_Express']
132130,['Visa']
132155,['bank_debit_cards']
132159,"['Visa', 'American_Express', 'Japan_Credit_Bureau', 'bank_debit_cards', 'Diners_Club']"
132160,"['Visa', 'bank_debit_cards']"
132161,"['gift_certificates', 'bank_debit_cards']"
132163,['bank_debit_cards']
132164,"['Visa', 'American_Express', 'bank_debit_cards']"
132165,"['Visa', 'American_Express', 'bank_debit_cards']"
132166,['bank_debit_cards']
132177,"['MasterCard-Eurocard', 'Visa']"
132182,"['MasterCard-Eurocard', 'Visa', 'American_Express']"
132184,"['MasterCard-Eurocard', 'Visa']"
132187,"['MasterCard-Eurocard', 'Visa', 'American_Express', 'Japan_Credit_Bureau', 'bank_debit_cards', 'Carte_Blanche', 'Diners_Club']"
132201,"['MasterCard-Eurocard', 'Visa']"
132204,"['Visa', 'American_Express', 'bank_debit_cards']"
132206,"['Visa', 'American_Express', 'bank_debit_cards']"
132207,"['Visa', 'bank_debit_cards']"
132211,"['MasterCard-Eurocard', 'Visa', 'American_Express', 'Diners_Club']"
132212,"['MasterCard-Eurocard', 'Visa', 'American_Express', 'Diners_Club']"
132213,"['MasterCard-Eurocard', 'Visa', 'American_Express', 'Diners_Club']"
132215,"['MasterCard-Eurocard', 'Visa']"
132220,['Visa']
132221,['American_Express']
132228,['MasterCard-Eurocard']
132229,['American_Express']
132230,"['MasterCard-Eurocard', 'Visa', 'American_Express']"
132231,"['MasterCard-Eurocard', 'Discover', 'Visa', 'American_Express', 'gift_certificates', 'Carte_Blanche', 'Diners_Club']"
132232,"['MasterCard-Eurocard', 'Visa']"
132233,"['MasterCard-Eurocard', 'Visa']"
132237,"['MasterCard-Eurocard', 'Discover', 'Visa']"
132243,"['MasterCard-Eurocard', 'Discover', 'Visa', 'American_Express', 'Carte_Blanche', 'Diners_Club']"
132244,"['MasterCard-Eurocard', 'checks', 'Visa', 'American_Express', 'bank_debit_cards', 'Diners_Club']"
132246,['MasterCard-Eurocard']
132275,['American_Express']
132289,"['MasterCard-Eurocard', 'Discover', 'Visa', 'American_Express', 'gift_certificates', 'bank_debit_cards', 'Carte_Blanche', 'Diners_Club']"
132293,"['MasterCard-Eurocard', 'Visa', 'American_Express']"
132296,"['Visa', 'American_Express', 'bank_debit_cards']"
132297,"['Visa', 'American_Express']"
132302,"['MasterCard-Eurocard', 'Discover', 'Visa', 'American_Express', 'Carte_Blanche', 'Diners_Club']"
132318,"['Visa', 'American_Express']"
132319,"['Visa', 'American_Express', 'bank_debit_cards', 'Diners_Club']"
132333,"['MasterCard-Eurocard', 'Discover', 'Visa']"
132336,['Discover']
132341,['American_Express']
132342,"['MasterCard-Eurocard', 'Visa']"
132343,"['MasterCard-Eurocard', 'Visa', 'American_Express', 'Diners_Club']"
132344,['Visa']
132346,['Visa']
132347,"['MasterCard-Eurocard', 'Visa', 'American_Express', 'Diners_Club']"
132348,"['MasterCard-Eurocard', 'Visa']"
132353,"['Visa', 'American_Express']"
132355,"['MasterCard-Eurocard', 'Visa', 'bank_debit_cards']"
